id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,9.008433935096434e-11,1.1104632571561197e-09,2.632072505695502e-13,3.7164502810747924e-08,2.3527769716464126e-09,4.064802962014452e-09,1.7685207705967807e-13,2.3645941118279473e-12,7.386874923043415e-12,3.6769749412678436e-08,7.082984231891131e-08,1.145264198507159e-13,4.4014907030032717e-13,3.4732371775920336e-10,6.50044218451731e-09,7.234471161003191e-10,2.587518251962547e-06,1.5986820235841655e-13,1.0337579759370721e-08,1.5175952543629673e-11,6.732377371107634e-08,1.2514358002808225e-09,8.497245229478666e-08,6.052109035620318e-13,5.4733918322307595e-12,2.6483034705710783e-11,3.560763699272113e-06,7.648077939303726e-08,7.793212271579694e-11,8.371969944169882e-11,3.3619967527836386e-18,3.47121654850825e-06,1.1556657960227678e-06,1.3624368250185286e-06,4.886899618060678e-12,5.8667317462577666e-08,3.324808526886182e-10,3.9288273609035954e-20,2.6794591408317418e-09,3.8750776654322385e-12,4.703421997091996e-18,3.4127828347865537e-07,1.8042769316739343e-09,5.809805045180734e-13,9.774009872463023e-08,1.7138151579567018e-11,1.6994720208674234e-05,4.609330070822507e-16,7.625442449943829e-14,1.3068588626827463e-09,6.6274926046502715e-09,0.9998565953390182,2.131294323647328e-12,1.8836858250242588e-07,9.174901354164693e-09,2.0971436985288473e-06,3.92523812769343e-06,3.597768357369448e-15,1.1671662712781673e-14,9.744337994267951e-11,1.0729142242732425e-09,4.635258687612365e-10,7.671140869278329e-10,2.469740932735203e-10,1.6047605154602323e-05,1.097404056494398e-09,1.227928428923855e-07,3.0122061364671454e-17,3.546980007739282e-12,1.0400035521099125e-10,2.7258568810848645e-13,5.15111795640207e-12,3.497275699614202e-07,5.337441143306366e-15,1.026236058339957e-05,3.0923279509263305e-06,2.656604284408331e-15,5.048057865308579e-09,1.3148819266644478e-05,1.8280301946441636e-10,1.2709906657726517e-08,1.5413587213491834e-15,1.340222655775799e-17,3.356000705215236e-05,2.5081642747334183e-05,8.666718990872094e-14,3.622023257308995e-15,1.9997378567806362e-16,5.108455664047544e-06,5.026841623093974e-15,8.3013915278445e-10,2.9041406106403884e-10,1.2911623684401517e-11,2.98724049785802e-09,7.928671853486562e-13,1.0933524946819703e-13,3.406073284673873e-15,3.4174243434809934e-07,7.521493772094433e-12
7,7.569856255520492e-10,6.8033977266275014e-09,7.776958494042083e-08,5.441387855402064e-07,1.5462019529936116e-09,9.544595569857789e-09,7.877243073553232e-06,1.1207442552409025e-09,1.1722206990948015e-09,9.564221447769703e-09,3.2871496944258617e-12,6.188733315428072e-11,3.3215781585430736e-11,3.397007834431644e-10,9.572005816165347e-10,5.723147927169785e-10,4.091255271620672e-10,2.001442078010252e-07,4.845402349396269e-10,9.255323596151255e-07,4.929411283658111e-09,2.3445011535170983e-11,9.017100373559722e-10,9.167035406234307e-11,6.606083283444482e-10,2.909519197844115e-10,1.5737061934532907e-08,1.0967480458471945e-07,2.968103212240615e-10,2.293851969737711e-12,7.074955836947078e-09,3.5410628298770824e-09,8.10121034199282e-09,1.3209704233070914e-10,6.828908808821507e-08,2.554701319673006e-11,6.898415266302687e-06,4.2708504476482053e-10,4.6995623133654356e-08,5.447712887325907e-07,2.0385154842525494e-08,1.4856573908523035e-07,2.011559855829393e-07,3.528258724633947e-08,6.638717276121345e-10,4.577770123511027e-07,4.109199254411918e-13,4.34620074054241e-06,1.4085131226075763e-08,4.6088459691810665e-11,0.9999608240954947,3.2064526052432343e-10,7.029475337519063e-10,7.957944652549548e-09,2.3583667260250358e-08,6.55606670218056e-08,5.5936178643252687e-11,2.5447264994458033e-08,7.108418907829211e-07,3.178571207686137e-07,6.38541990535559e-08,1.2782451093346553e-08,4.0694050950224147e-10,1.406553828528161e-07,3.554263403875701e-13,5.023459135350425e-10,3.99938507693288e-10,2.56556949148008e-09,3.404363305099415e-08,6.651069965001962e-06,5.086648406050749e-13,7.474035425218453e-11,1.9376864397412149e-10,5.9692869451260236e-09,7.216791366337043e-15,4.613882446000896e-11,1.5968710600337108e-06,1.6801821761135916e-09,2.5131399868856195e-09,1.2539335499878805e-08,9.92297315962932e-10,5.827231723384806e-09,2.1415175564318267e-07,5.451316591684609e-07,5.720238634378088e-07,1.3771665574999472e-07,1.2720737378660476e-07,2.9633213293874026e-07,1.2318776349198547e-13,1.6001687390526214e-08,2.6068134450662793e-08,4.1083391539041295e-11,2.318301877248157e-12,1.2941238688558872e-14,1.9061341080847369e-06,2.574062151161827e-09,3.042251412343902e-06,2.7580304312597283e-10,1.1933391478500778e-08
9,5.3045884792905325e-08,0.9973271175784957,1.1043887881409273e-07,3.858415486757092e-08,0.0021481250454869296,3.744998342030206e-06,2.8185990756626135e-08,8.377288178431006e-06,5.785608022952476e-05,2.6873912081814248e-05,4.376428869063268e-08,4.0340323106529525e-05,4.03590451071046e-08,1.4505951208874749e-07,4.266312426881662e-06,2.7314855385498335e-06,0.00023025450934507168,3.41813773269267e-10,9.72792500675466e-08,5.910047207085983e-06,8.279504507349861e-08,1.5660423082603426e-07,4.686103998357966e-11,2.1949237206412664e-10,4.265368460111368e-11,1.1121537719407069e-05,8.998275490780195e-06,1.5234929086052616e-10,6.8981607946444604e-09,1.3939381525895417e-09,1.575822709232185e-10,1.5127413560453345e-08,4.819382136657702e-06,2.0012690199950195e-06,1.1092324084320641e-11,5.43231333964996e-06,8.455849971370603e-10,6.104561001157897e-12,4.110559161462266e-10,7.510991072865139e-07,1.705011978010918e-11,1.1651963518550871e-07,4.370368475009999e-09,4.1841403853647985e-10,2.1428370836387547e-07,2.2502762235978457e-10,3.7363488668432463e-10,1.4158764120511592e-08,1.2501383914935304e-07,1.9847710320685708e-07,6.101944187510309e-08,6.34987087726644e-11,2.8574240480872713e-09,6.880762184350377e-07,4.248723861428045e-08,2.827174498991808e-09,3.7484294489644517e-06,2.525502844046273e-10,5.039003800495147e-12,1.4238635540916375e-09,5.348021380800021e-07,2.981009008013597e-10,7.439225756531008e-08,2.5623038750720384e-07,7.3128058142919745e-09,1.7308984471221887e-08,8.812368211484954e-08,1.565780497941538e-11,2.2222957810033203e-11,1.3398535405534286e-07,1.4535547864573271e-09,7.819397368608155e-09,3.015317313299597e-08,2.285804389451304e-06,5.988333827514799e-08,6.776480247939235e-08,1.3101383113246583e-10,5.052385251910216e-08,5.161863736991047e-07,2.4672480786689832e-08,3.9572905792553455e-08,1.0071534947326092e-12,1.273122437691898e-12,1.7083618018126935e-08,6.8008671113638e-07,3.0215198726234637e-05,1.93722650507257e-09,7.905054123935187e-09,2.200087429944049e-09,2.2527266909512e-07,6.742809662679558e-09,6.967798092559213e-08,1.2804271830524888e-08,3.4152056572686384e-09,6.89580708780171e-09,1.3824299947295305e-07,5.418572984994168e-11,1.2186086916209104e-08,6.96393103264323e-05
12,2.7851946699907264e-09,0.0012129596932244583,8.258300511561812e-08,1.8501828748487037e-08,2.1924945338617048e-07,3.1677305835967053e-09,8.428676528759432e-06,2.894952608804421e-07,6.234444429979264e-06,2.6115971907255315e-05,4.720605560750228e-10,3.4743955962367714e-06,1.6012284820956132e-05,0.0005160174887937143,5.213729457527533e-06,3.357261522500167e-07,1.5111965629228025e-08,3.330865589938942e-06,1.3775318474897573e-09,0.9963094590654838,6.316584046358541e-07,6.237508424489325e-11,1.9060462333452286e-08,5.366076336866183e-11,4.630192127548184e-10,1.6987462289050553e-09,1.2999068359631522e-05,2.3719011210747567e-08,3.754334117696006e-11,2.243763457196767e-12,1.9027591558123794e-10,1.8870874651547474e-10,5.364392044842373e-07,6.820586233567161e-09,1.3369792266331724e-10,2.739596883131056e-09,2.2844890407724377e-07,4.010583466359991e-09,1.0774087690755581e-08,3.2902660487138037e-09,4.068294414916832e-10,0.00024348226758174642,2.0318589332100796e-09,1.4207871944741257e-08,1.064827893026586e-08,7.450920783935537e-09,1.2960883715659578e-11,0.0009611911200817658,8.718976799685318e-07,5.744310959315823e-10,7.441662051669059e-07,3.900694240977879e-12,1.5247095221571198e-08,2.1562232564686964e-08,4.2836573661067963e-08,1.8339452428850219e-09,1.1772990792230203e-11,2.987871156377784e-08,1.0069690552299643e-06,1.5046987169966203e-07,2.2854840550219832e-07,3.220322558931138e-10,2.0968636666635666e-07,8.178468064171178e-06,2.945115888958536e-12,2.775545771463745e-08,2.3784267945818097e-09,9.109159789132316e-09,8.15673775758504e-10,1.4079884660823188e-09,4.330175632528808e-11,3.598764336354018e-10,7.947911473640915e-11,2.991559934548514e-07,1.0178308098365612e-11,2.7705663891213275e-09,3.174131073735434e-09,2.425396997103749e-07,2.167661574821817e-07,9.797911093349687e-08,9.944179600882546e-07,7.206089433646042e-10,2.411644987339741e-07,1.0206077026768137e-08,6.082432549009288e-08,6.333297308279285e-05,2.2272962222808637e-07,3.5752606859081014e-08,2.650790266807633e-12,5.253153037511167e-07,7.977147471836677e-09,7.651849955534018e-08,5.446275615629438e-10,2.525861700724987e-10,7.761712824238335e-07,0.0005167899289062281,2.9154417222199058e-08,4.291996098119993e-09,7.709213717262843e-05
13,5.942099189112905e-08,5.114700554581122e-08,1.4206616617861583e-10,1.7014992676943434e-11,2.9455839246083156e-08,1.403207716119559e-10,5.364248493889963e-08,7.86009651762412e-09,3.747378372683696e-06,1.701993377477581e-07,3.2589121029302854e-09,6.819816653987228e-05,8.926092924511765e-08,1.2351321893290999e-06,0.9998907745132355,1.5647025052384954e-08,2.3620183766879037e-05,7.302247329881971e-10,1.055676518756481e-08,1.8371655840914915e-09,2.851166317909176e-07,9.739257226438141e-12,3.0996508217332744e-08,8.43995432522958e-12,2.6525504733086285e-10,5.15259407864108e-10,2.6643672193113523e-07,4.514069736075631e-11,1.9794738741612573e-11,6.733939733625744e-13,3.1861073812570613e-12,2.0678385475299835e-12,3.9627165487344855e-10,7.005918523712163e-09,1.033711421029353e-13,5.7721200263841944e-08,2.4838743526822004e-10,2.2599132931532128e-14,9.159259503698935e-10,3.4359250037084357e-13,1.1998946749824028e-13,3.5073991606773316e-09,3.815243325784077e-11,2.265862135571467e-09,4.5838215015441676e-11,5.3125056826306495e-14,1.3996030189893214e-11,5.538043568334394e-09,1.7241943420495565e-06,4.140180673767265e-06,1.744821427916091e-11,2.084644853928561e-12,3.6033661832486097e-09,3.873290110835119e-08,1.2757063143413507e-08,6.436002573309096e-12,3.5443995932131087e-11,8.250292276035456e-12,2.1501072323244465e-12,1.587850500860878e-09,1.552973169433213e-09,8.350361017315404e-11,5.996714024965569e-10,3.008223407719188e-08,1.1948437570707907e-11,9.312007603678333e-12,8.6487217866908e-10,7.540728307293356e-13,3.980872448545382e-12,9.787469273441114e-11,3.947187277815149e-10,9.380687562464719e-09,1.7898477236172295e-11,1.510632920535103e-10,4.787418770400941e-09,4.698875305348529e-10,2.7087259672069057e-12,1.6307340191428474e-08,4.946212766338148e-08,3.109585019619316e-08,2.8260333559984443e-08,6.542186645046498e-14,2.0904640119232054e-12,2.0440071432176356e-08,1.285110673484981e-09,1.0950482817665276e-09,3.5840832200425394e-10,1.9133139239184596e-12,4.657611663839937e-11,2.4725651833012868e-08,9.548103892064655e-11,4.7518150276135063e-07,3.630435953265971e-10,5.300310396714835e-07,2.5632433426763245e-07,3.842863663555871e-06,9.350249652402265e-10,1.2403071492508182e-08,9.275393632922508e-09
16,7.071458096780517e-05,5.693431543262473e-06,3.13090247182886e-05,0.919414525655464,4.444782462391872e-06,8.205209638034666e-07,9.114619664131522e-05,7.258248317781699e-05,4.5368637411624366e-06,2.5055491309565887e-06,1.8038440500603224e-05,1.3079652150794658e-06,8.253677867357425e-05,4.030212784099338e-06,3.335739646353965e-05,9.323229336654605e-06,2.8853432005608545e-06,0.000106355075081297,5.805131661508645e-05,0.00048183744328424643,4.9415288702398624e-05,2.121756077677762e-06,8.889347543648106e-06,1.272874383401803e-07,5.882966929788223e-05,1.589440585471496e-05,0.0006186602147008621,1.324658933197189e-05,3.3517032769115943e-06,1.0649723407470148e-09,5.819018816552487e-05,5.524789307985066e-06,0.00013773661689547934,2.398550040884659e-06,2.2906216881522074e-05,2.9802638658976726e-06,0.00022079635067331072,4.953529180687313e-07,5.503326115944641e-06,9.761797212455693e-06,1.4962928258374804e-05,0.0001941275411876048,0.0002128817440318044,0.0071110430375776815,2.164830680907869e-05,0.00023097275454448622,1.0714997665899103e-07,1.217626598396128e-05,3.7922020807337065e-06,6.426107005012554e-05,0.0001628319484242787,6.01850284511041e-07,0.0036856380296803387,2.1631938469734346e-06,5.363737773368756e-07,4.052306205804074e-06,7.062934362945376e-08,7.11133428590981e-05,0.0012114648642173966,4.408247949920488e-05,0.00018945481212633968,1.6631621164742584e-06,0.00024823342637946596,6.235656723140293e-05,3.377428743801948e-09,2.9109250163991114e-05,1.8578094264498938e-06,7.891542583046109e-05,0.00028950457519327213,9.45494136539888e-05,1.5312025110935285e-07,8.553852991558967e-06,9.058584444602209e-07,9.567820329286396e-05,3.425086375743951e-10,5.667860817668952e-06,1.652056672063217e-05,2.3717391796512944e-05,1.3843667167938584e-07,0.0002694506973054612,2.8489407442965414e-08,0.00025917311030340917,3.0305258707603235e-06,0.0012590034014978361,8.24952820511379e-06,0.00027150506617039605,0.05901481344015963,1.2988104883411092e-05,1.1017242181953031e-08,0.0002774472795320856,0.000494258650205224,1.4337159967377869e-05,1.2333476440611625e-06,5.306387740602204e-07,0.0016545655713741856,2.5654690300373976e-05,0.00019599328245352012,0.0001558215112539244,0.00015355994652598945
19,1.947605425064981e-05,2.750901953180703e-06,1.156094006549878e-05,0.9975442481521389,3.1537991695821155e-07,1.6623116305729218e-07,8.05378156255103e-06,6.553466026084229e-07,2.8562530586227807e-07,3.0723555669140696e-07,4.1561507646147755e-06,4.221388591747426e-08,4.3177471268642197e-05,1.5097680675171472e-07,9.568581515558912e-07,7.96186638080708e-07,1.1071549458931862e-06,7.870789469685512e-07,5.385578855423138e-06,2.9054622898401628e-05,1.9993148641713436e-05,2.4004048230530373e-07,9.715903348256865e-08,6.568669534923975e-08,2.0406687589014126e-06,5.4813202881308855e-06,1.3282816137912232e-06,3.5549872764455953e-07,1.044270103353646e-06,9.293686113097375e-10,5.13690736526895e-06,1.8674181693193322e-05,3.1030425961721386e-05,8.873558492069154e-08,4.956533881191808e-07,1.662833078827742e-07,1.4413170849766213e-05,1.2787766181575048e-07,2.972869712159032e-06,7.4761934622122486e-06,4.2191639363320217e-08,2.9203273814649517e-05,4.507827382174808e-06,0.00012598055236550849,2.752281486821815e-06,1.5352503225835105e-05,3.3548493364528476e-08,8.048542930162104e-07,2.436362107747343e-07,6.513298224779668e-07,0.0003100011899037968,4.177245592026406e-07,6.6177868927795175e-06,1.2906953906731326e-06,6.343927758703067e-08,9.6266159615533e-07,1.0794138157947755e-07,7.590570978634402e-07,4.759434151537563e-05,3.4537520696356825e-06,0.0001670301881739461,2.0552779556231615e-07,2.199014976876312e-06,1.6523158427643838e-06,1.36695870834256e-08,6.790395061476107e-05,1.0957756715514874e-07,1.0588861343653152e-06,6.80964320425639e-05,5.618949446803894e-05,1.0247706924671295e-08,2.5248442630294214e-07,3.843623999317632e-08,6.241194876621018e-07,5.051820989286117e-11,2.411400625376435e-07,8.495774240148116e-06,2.0325377250980584e-06,5.211392331817473e-09,2.2607156949325314e-05,6.614785120198845e-09,2.8087119482830646e-05,2.3737170970677482e-07,1.2681445751048049e-06,7.213123603361276e-06,5.855310306895017e-05,5.351304098758028e-05,1.3040561389515006e-05,9.249051517034014e-11,5.6074911806015805e-06,4.7544861547865036e-05,2.3698870776306097e-06,8.913558826994059e-08,9.473855132880265e-09,0.0006932268018362153,1.5840389141844997e-07,6.695324303837451e-06,1.287295660870095e-06,0.0003468221042167309
23,6.281130240261544e-10,1.2178880991234738e-06,2.0956401943483383e-06,5.781384456383483e-06,1.7300812167880836e-07,0.0001514007310712605,2.2696164422725714e-06,1.9834711745619154e-08,2.1013174880366625e-10,7.239677473246042e-08,8.676970615484203e-11,6.827757214630895e-08,2.6180128114461717e-08,3.4346906447333345e-09,4.963244437309709e-09,1.769853200688596e-05,2.1409792058182308e-10,4.741460222169665e-09,8.932402510997289e-07,2.988813108561439e-07,7.090686328937008e-06,4.2460701514956545e-08,7.242472702589637e-08,1.192819258041642e-06,8.673880045102791e-07,2.967058782051277e-07,2.4846074814517877e-08,9.310049666220054e-08,0.9988637711906342,0.0007940576615470115,4.1121469054854244e-05,8.510648696792201e-10,7.213361160074222e-08,2.6236859905567295e-08,1.8994116924941948e-08,5.539387893091302e-07,5.351014382980479e-08,3.101542459581652e-07,1.5818407909221915e-08,1.6093707121868807e-06,7.996552375327891e-10,3.2422243661894053e-11,3.611032380279737e-05,1.8869367054186477e-08,5.8431592813129395e-09,6.872698367028847e-10,1.1136463995387061e-10,3.17290456060748e-10,3.010852760504917e-10,1.2382023414570507e-08,4.5743199012540695e-08,1.1168803215345757e-07,1.7289892265370953e-09,8.230413315009827e-09,8.487404195476242e-08,4.613852755342557e-05,3.5763746869498475e-07,3.119990736372862e-08,9.110138405604324e-11,4.629137388409218e-09,1.4258036275282524e-07,6.614355924428501e-07,9.201526126262042e-08,3.296369936032255e-08,1.239837256547997e-10,3.7287041714900586e-07,1.1845222995012819e-06,2.5627705806941146e-08,5.279130310659404e-09,1.888455251117753e-07,7.626023684694137e-06,2.316091642176268e-07,1.0093963719486286e-07,1.4070391334744668e-07,8.71619855179947e-13,8.330578995772211e-11,2.007797292270548e-06,7.279441831517276e-08,1.9307932220492237e-09,1.119065360047663e-06,3.0625322598374434e-06,4.272640967832624e-07,2.0722666932403681e-10,1.2671245288746403e-11,4.6737286289902784e-07,7.173688955299966e-09,5.124927609897805e-09,2.543357302713695e-06,1.3346007932415847e-09,8.965222161842009e-09,4.6476163259904246e-08,3.378828100274286e-08,7.403563266176768e-08,6.315288502232493e-09,1.3567619187747143e-10,2.0851636570459724e-10,6.33957180337435e-08,1.0145498750946513e-09,2.9884053054909557e-06
24,9.668837605506686e-07,7.546061404050216e-08,1.0069623692776279e-08,1.9269172437900852e-10,6.984199872309711e-09,1.6547629300818988e-06,3.628684926799938e-09,1.9675042413632175e-10,4.558293340669825e-06,2.8492716654696466e-09,5.483050062603404e-08,3.009849699309872e-12,8.83924065083848e-11,1.7633647682463428e-10,1.274923864270255e-10,1.9215430211704174e-08,1.7674773219598974e-07,5.796990988839697e-10,5.998255732077028e-11,8.752344128943902e-09,2.2250817726065978e-07,4.0744262471822816e-10,2.2982980483487217e-13,7.374544182904884e-11,9.235040021685428e-13,9.282311237848797e-10,1.3984549235446196e-07,3.1273087572928077e-09,5.884191655380506e-13,1.5054999788335683e-12,7.627206135160508e-14,1.6235201237366716e-06,2.081030980006281e-07,3.638986898713013e-08,9.290684152202794e-10,2.3294809686280826e-10,5.905627825224652e-08,1.0798597512631144e-10,5.515440140073266e-09,1.932939497980133e-06,5.35745335246184e-12,1.2230425249836352e-08,4.376879452438782e-09,1.5747744507586616e-10,3.356854655047717e-09,2.36380479209518e-08,1.0384654361689997e-12,4.517072521684067e-11,5.259699351401771e-13,1.72434578216322e-09,1.860572502585558e-10,6.45162855535434e-08,9.249897231148034e-13,2.737137675290768e-13,2.3231984656023787e-09,9.929023833473656e-10,6.697023683505868e-12,1.7139877569678553e-11,7.1124461906644125e-09,2.703003791038819e-07,5.2260940978241305e-09,3.09549447259664e-10,4.6101354286435005e-11,3.2242905344405933e-10,5.979646194229435e-11,5.183221388950289e-10,3.2029740874390216e-10,6.714383204504191e-14,3.5170021494139654e-10,1.653507982544569e-07,1.869742353329661e-11,1.2038744471112822e-11,1.2231331780336988e-07,2.044365356930188e-12,4.859920806394901e-10,3.282293143317088e-10,1.7823544718947953e-10,6.919043504623323e-09,4.276426187630515e-08,1.4932898134442697e-08,2.5065000438668934e-10,1.2109801329329862e-11,2.449745750246149e-10,2.7921562424496163e-08,0.9999874055182031,7.859193402878704e-10,2.4595031776219073e-12,9.130810370894789e-11,7.714686810919407e-12,4.884947040100104e-09,3.9524229365110997e-10,8.576770781115053e-11,3.835136476338244e-11,9.821350992012617e-13,3.399774485068897e-08,4.0517561212740036e-10,9.376947112648476e-13,2.5185764938989e-10,6.093203936301876e-11
28,1.5144508088544105e-05,3.590942677235832e-06,3.858724509034481e-08,9.905086969862095e-08,2.4680278230210726e-07,2.6017016725867226e-08,1.1555026934641198e-06,2.087234788987831e-05,0.9999013048160954,1.2388077516654706e-07,4.684054765934908e-06,2.2584910601309545e-06,5.831393614589087e-06,9.132372936429703e-08,5.003544665434576e-06,5.490047956799969e-07,1.4219970261138663e-06,4.5451243493025346e-07,4.3203811120664195e-08,1.6176944806627904e-06,1.7599619375872957e-07,2.1457062083360314e-10,4.5948425562197704e-10,5.949100545196348e-11,1.8272179098229146e-10,1.756936091881835e-09,1.3186812538570996e-07,2.744410307921105e-10,1.4005176030760327e-10,3.430627547683278e-12,6.481169495213598e-11,2.6501391335931966e-09,9.049724106704813e-07,1.5655646952042178e-06,9.941383202587907e-11,1.3369408686024743e-07,1.5827782189485435e-09,1.974710690987298e-11,2.250794777309585e-10,3.549136292926236e-09,1.2036656544319324e-11,1.0663968680330125e-07,2.7227440802825405e-09,3.416295250671241e-10,1.0654331714559947e-07,1.6627386796764184e-09,2.661901395738792e-10,7.279557628089748e-09,9.993190977680718e-08,1.2522959770556107e-07,2.131928974963702e-09,6.83311941377793e-12,1.0076391069539098e-08,5.49422404987106e-08,7.061753803932764e-08,1.3972153472403571e-08,1.0359457087471043e-09,8.509148963503832e-11,7.365152711703496e-10,6.5190297010842384e-09,3.20173681294644e-08,4.888317742155498e-10,8.81531124639822e-09,1.0575776917788962e-08,1.5117244875772734e-09,2.467495320912483e-08,1.6929499567434402e-09,1.410466320383933e-11,2.1964241262873894e-09,2.3139141263152119e-07,4.800262345737471e-10,2.062141045754102e-09,1.0279616924315277e-09,1.3318443129077355e-08,5.1654017047717255e-09,1.2569325688436158e-08,1.0262217257798929e-10,3.2949776733499044e-09,1.8556500624703086e-07,8.965440240387864e-09,1.1356997177265043e-08,7.831294432637312e-11,5.473532237356932e-10,1.5597130626214517e-07,2.1452546845509093e-06,1.9057706941161718e-07,1.0849919593397903e-07,9.761875642453794e-10,2.939633638209631e-11,1.2542053350144605e-06,1.8211906316183285e-08,5.131157492746505e-07,8.81517978600977e-09,2.964491139689885e-07,2.6072750858865e-05,5.057110953839349e-07,3.441828540069033e-12,1.3413803119018546e-09,7.836789484736857e-08
